,country,year,gdp per capita nominal,gdp per capita ppp
0,Afghanistan,2023,410.933,2173.745
1,Albania,2023,8299.278,20018.303
2,Albania,2024,9598.191,21376.586
3,Algeria,2023,5221.813,16900.136
4,Algeria,2024,5579.128,17718.286
5,Angola,2023,2967.384,9673.949
6,Angola,2024,2961.34,9801.001
7,Antigua and Barbuda,2023,19985.469,29422.925
8,Antigua and Barbuda,2024,22117.858,31473.728
9,Argentina,2023,13823.346,29335.855
10,Argentina,2024,12814.444,28704.096
11,Armenia,2023,8125.625,21532.119
12,Armenia,2024,8517.994,23376.226
13,Aruba,2023,36743.647,48967.953
14,Aruba,2024,39697.146,52944.99
15,Australia,2023,64546.866,67900.529
16,Australia,2024,65965.622,69475.413
17,Austria,2023,56856.125,71988.371
18,Austria,2024,58668.601,73050.854
19,Azerbaijan,2023,7144.807,23660.458
20,Azerbaijan,2024,7381.368,24698.092
21,Bahamas,2023,35517.076,36353.911
22,Bahamas,2024,36321.503,37516.978
23,Bahrain,2023,29218.861,63497.708
24,Bahrain,2024,29573.098,65344.834
25,Bangladesh,2023,2651.738,9211.637
26,Bangladesh,2024,2624.532,9840.469
27,Barbados,2023,23167.298,20765.473
28,Barbados,2024,24758.604,22034.88
29,Belarus,2023,7821.879,30115.084
30,Belarus,2024,8007.673,32098.475
31,Belgium,2023,53854.213,71035.464
32,Belgium,2024,56128.791,73221.637
33,Belize,2023,7592.071,14088.47
34,Belize,2024,8133.122,14957.565
35,Benin,2023,1433.067,4243.964
36,Benin,2024,1510.188,4500.581
37,Bhutan,2023,3790.136,15705.502
38,Bhutan,2024,4068.072,16754.619
39,Bolivia,2023,3748.41,11028.11
40,Bolivia,2024,3919.602,11322.892
41,Bosnia and Herzegovina,2023,7810.113,20431.303
42,Bosnia and Herzegovina,2024,8220.816,21498.089
43,Botswana,2023,7249.918,19391.042
44,Botswana,2024,7341.129,19723.373
45,Brazil,2023,10267.932,21052.021
46,Brazil,2024,10296.412,22122.71
47,Brunei,2023,33576.739,86866.545
48,Brunei,2024,34871.7,91046.396
49,Bulgaria,2023,15764.648,36860.958
50,Bulgaria,2024,17069.33,39185.322
51,Burkina Faso,2023,866.587,2712.681
52,Burkina Faso,2024,908.372,2850.074
53,Burundi,2023,326.842,969.884
54,Burundi,2024,320.636,985.645
55,Cambodia,2023,2545.522,7608.157
56,Cambodia,2024,2743.991,8136.533
57,Cameroon,2023,1722.821,5361.094
58,Cameroon,2024,1821.317,5565.668
59,Canada,2023,53607.403,62266.066
60,Canada,2024,53834.483,62765.568
61,Central African Republic,2023,510.568,1291.253
62,Central African Republic,2024,529.492,1296.324
63,Chad,2023,982.381,2757.762
64,Chad,2024,1012.651,2832.345
65,Chile,2023,16814.973,32204.174
66,Chile,2024,16365.296,33574.404
67,China,2023,12597.307,24502.814
68,China,2024,12968.567,26309.991
69,Colombia,2023,6962.873,20787.614
70,Colombia,2024,7917.244,21436.901
71,Comoros,2023,1540.685,3725.593
72,Comoros,2024,1629.863,3860.618
73,Congo,2023,2308.52,6252.157
74,Congo,2024,2384.399,6403.607
75,Costa Rica,2023,16390.222,28226.753
76,Costa Rica,2024,17860.414,29779.185
77,Cote d'Ivoire,2023,2537.065,7214.352
78,Cote d'Ivoire,2024,2719.971,7648.157
79,Croatia,2023,21520.681,46005.225
80,Croatia,2024,23380.437,48811.093
81,Cyprus,2023,35015.587,56628.363
82,Cyprus,2024,37766.666,59857.876
83,Czechia,2023,31630.255,55206.513
84,Czechia,2024,31365.509,56686.216
85,Denmark,2023,68618.872,80210.524
86,Denmark,2024,69273.048,83454.418
87,Djibouti,2023,3895.094,7988.555
88,Djibouti,2024,4154.792,8600.896
89,Dominica,2023,8781.135,17265.606
90,Dominica,2024,9391.59,18390.67
91,Dominican Republic,2023,11372.125,27112.85
92,Dominican Republic,2024,11692.09,28949.585
93,Ecuador,2023,6663.636,16192.853
94,Ecuador,2024,6758.373,16515.535
95,Egypt,2023,3743.608,20180.861
96,Egypt,2024,3541.75,20799.054
97,El Salvador,2023,5344.249,12546.846
98,El Salvador,2024,5606.972,13172.75
99,Equatorial Guinea,2023,7755.011,20675.69
100,Equatorial Guinea,2024,8101.698,21750.628
101,Estonia,2023,30137.644,47127.95
102,Estonia,2024,31530.969,48008.04
103,Eswatini,2023,4173.577,12232.255
104,Eswatini,2024,4375.286,12963.227
105,Ethiopia,2023,1511.217,3783.947
106,Ethiopia,2024,1350.401,4045.132
107,Fiji,2023,5933.167,15266.481
108,Fiji,2024,6256.634,16002.615
109,Finland,2023,53130.693,63558.656
110,Finland,2024,54773.988,64657.338
111,France,2023,46305.162,63880.888
112,France,2024,48011.828,65940.409
113,Gabon,2023,9079.278,23345.612
114,Gabon,2024,9256.657,24128.778
115,Gambia,2023,892.989,3318.339
116,Gambia,2024,988.881,3491.217
117,Georgia,2023,8172.574,24849.107
118,Georgia,2024,8882.635,27363.366
119,Germany,2023,53565.041,69531.553
120,Germany,2024,55521.345,70930.357
121,Ghana,2023,2322.121,7746.145
122,Ghana,2024,2231.793,7975.131
123,Greece,2023,22880.296,40047.873
124,Greece,2024,24341.505,42065.72
125,Grenada,2023,11515.617,19358.429
126,Grenada,2024,12050.392,20305.806
127,Guadeloupe,2023,46305.162,63880.888
128,Guadeloupe,2024,48011.828,65940.409
129,Guatemala,2023,5933.036,14158.391
130,Guatemala,2024,6295.05,14791.412
131,Guinea,2023,1529.46,4156.733
132,Guinea,2024,1652.312,4321.381
133,Guinea-Bissau,2023,1035.294,2954.584
134,Guinea-Bissau,2024,1106.242,3110.196
135,Guyana,2023,21472.309,53584.551
136,Guyana,2024,28920.551,78666.763
137,Haiti,2023,1603.278,3132.982
138,Haiti,2024,2120.413,3038.798
139,Honduras,2023,3267.648,7295.076
140,Honduras,2024,3446.298,7604.664
141,Hong Kong,2023,50586.78,71627.003
142,Hong Kong,2024,53164.778,75406.842
143,Hungary,2023,22131.628,44960.952
144,Hungary,2024,23881.429,46807.165
145,Iceland,2023,83485.11,78250.289
146,Iceland,2024,85786.894,78808.044
147,India,2023,2497.188,10233.445
148,India,2024,2697.563,11111.708
149,Indonesia,2023,4919.949,15553.573
150,Indonesia,2024,4980.722,16542.109
151,Iran,2023,4347.193,18658.141
152,Iran,2024,5012.844,19606.813
153,Iraq,2023,5826.035,14766.838
154,Iraq,2024,5947.315,14756.731
155,Ireland,2023,103465.935,126991.82
156,Ireland,2024,103500.385,127750.161
157,Israel,2023,52643.451,53810.401
158,Israel,2024,53110.949,54446.208
159,Italy,2023,39012.076,59164.515
160,Italy,2024,40286.836,60992.864
161,Jamaica,2023,7032.24,11856.177
162,Jamaica,2024,7486.621,12283.257
163,Japan,2023,33898.99,51399.027
164,Japan,2024,32859.112,53059.36
165,Jordan,2023,4488.417,10455.864
166,Jordan,2024,4682.081,10916.507
167,Kazakhstan,2023,13260.898,39463.307
168,Kazakhstan,2024,14569.9,41366.311
169,Kenya,2023,2110.0,6772.284
170,Kenya,2024,2218.025,7157.32
171,Kiribati,2023,2230.805,3386.612
172,Kiribati,2024,2455.051,3611.797
173,Kuwait,2023,33321.28,50933.256
174,Kuwait,2024,32289.977,49736.258
175,Kyrgyzstan,2023,2018.911,7279.263
176,Kyrgyzstan,2024,2228.777,7772.556
177,Latvia,2023,23175.505,41938.071
178,Latvia,2024,24222.809,43526.926
179,Lebanon,2023,4486.987,12453.967
180,Lesotho,2023,1034.246,3135.253
181,Lesotho,2024,1061.813,3260.421
182,Liberia,2023,808.259,1810.556
183,Liberia,2024,855.186,1902.323
184,Libya,2023,6422.118,14781.326
185,Libya,2024,6482.099,15350.964
186,Lithuania,2023,26997.801,51129.222
187,Lithuania,2024,28712.702,53623.635
188,Luxembourg,2023,129810.315,148693.702
189,Luxembourg,2024,135321.424,151145.794
190,Macao,2023,69079.723,117032.907
191,Macao,2024,77186.16,130416.65
192,Madagascar,2023,530.466,1911.404
193,Madagascar,2024,562.585,1989.82
194,Malawi,2023,557.633,1691.672
195,Malawi,2024,463.733,1713.774
196,Malaysia,2023,12090.597,38693.715
197,Malaysia,2024,13142.345,41021.961
198,Maldives,2023,16541.03,32541.081
199,Maldives,2024,17286.827,34322.076
200,Mali,2023,865.599,2762.817
201,Mali,2024,898.46,2843.339
202,Malta,2023,41204.739,69181.837
203,Malta,2024,44140.016,72941.905
204,Mauritania,2023,2403.679,7874.978
205,Mauritania,2024,2376.285,8233.316
206,Mauritius,2023,11543.601,29511.256
207,Mauritius,2024,12601.486,32062.706
208,Mexico,2023,13641.033,24248.718
209,Mexico,2024,13971.898,24971.323
210,Moldova,2023,6641.582,17320.302
211,Moldova,2024,7368.494,18524.015
212,Mongolia,2023,5796.476,17883.657
213,Mongolia,2024,6665.645,19063.366
214,Montenegro,2023,11696.262,30007.337
215,Montenegro,2024,12802.124,31858.01
216,Morocco,2023,3901.397,10180.615
217,Morocco,2024,4203.553,10615.06
218,Mozambique,2023,618.283,1664.707
219,Mozambique,2024,645.329,1729.561
220,Myanmar,2023,1190.012,5061.102
221,Myanmar,2024,1179.396,5205.768
222,Namibia,2023,4216.111,11349.849
223,Namibia,2024,4409.957,11730.163
224,Nauru,2023,12078.308,10625.931
225,Nauru,2024,12285.096,10829.327
226,Nepal,2023,1316.147,5153.126
227,Nepal,2024,1381.053,5348.118
228,Netherlands,2023,64829.341,79586.245
229,Netherlands,2024,67984.285,81494.628
230,New Zealand,2023,47423.081,52856.074
231,New Zealand,2024,47072.425,52983.046
232,Nicaragua,2023,2672.628,8492.336
233,Nicaragua,2024,2877.647,8949.812
234,Niger,2023,1637.468,6366.706
235,Niger,2024,877.073,6542.585
236,Nigeria,2023,1637.468,6366.706
237,Nigeria,2024,877.073,6542.585
238,North Macedonia,2023,8063.108,25718.08
239,North Macedonia,2024,8658.893,26911.822
240,Norway,2023,87702.851,100153.712
241,Norway,2024,90433.666,103446.04
242,Oman,2023,21062.91,41558.705
243,Oman,2024,20631.44,41651.669
244,Pakistan,2023,1458.013,6530.888
245,Pakistan,2024,1587.604,6715.296
246,Panama,2023,18725.739,39846.203
247,Panama,2024,19369.476,41292.258
248,Papua New Guinea,2023,2518.04,3375.533
249,Papua New Guinea,2024,2543.653,3542.298
250,Paraguay,2023,5685.818,15869.085
251,Paraguay,2024,5869.329,16642.23
252,Peru,2023,7912.956,17024.651
253,Peru,2024,8315.915,17775.18
254,Philippines,2023,3906.229,11281.377
255,Philippines,2024,4153.593,12079.571
256,Poland,2023,22085.808,48799.413
257,Poland,2024,23563.217,51628.831
258,Portugal,2023,27834.773,47226.151
259,Portugal,2024,29341.17,49236.504
260,Puerto Rico,2023,36779.059,47717.536
261,Puerto Rico,2024,37925.934,49594.095
262,Qatar,2023,69540.54,111789.459
263,Qatar,2024,71568.394,115074.541
264,Romania,2023,18424.685,44974.057
265,Romania,2024,20088.859,47203.733
266,Russia,2023,13738.704,44512.053
267,Russia,2024,14952.904,47298.706
268,Rwanda,2023,1044.352,3510.651
269,Rwanda,2024,985.99,3746.809
270,Saint Kitts and Nevis,2023,22106.297,33051.45
271,Saint Kitts and Nevis,2024,24202.606,35275.591
272,Saint Lucia,2023,13358.349,25597.791
273,Saint Lucia,2024,14034.389,27051.657
274,Saint Vincent and the Grenadines,2023,9757.972,18174.58
275,Saint Vincent and the Grenadines,2024,10557.854,19425.032
276,Samoa,2023,4478.194,6316.219
277,Samoa,2024,5048.032,6998.213
278,Sao Tome and Principe,2023,2949.403,6123.667
279,Sao Tome and Principe,2024,3424.836,6205.203
280,Saudi Arabia,2023,32529.678,61932.611
281,Saudi Arabia,2024,32881.339,63117.954
282,Senegal,2023,1703.392,4786.495
283,Senegal,2024,1805.139,5056.15
284,Serbia,2023,11352.113,27183.331
285,Serbia,2024,12513.826,29038.902
286,Seychelles,2023,21455.112,39248.893
287,Seychelles,2024,21289.801,41077.691
288,Sierra Leone,2023,754.283,3359.662
289,Sierra Leone,2024,856.315,3505.131
290,Singapore,2023,84734.277,141553.675
291,Singapore,2024,89369.715,148185.776
292,Slovakia,2023,24468.025,43555.921
293,Slovakia,2024,26290.363,45632.207
294,Slovenia,2023,32673.257,53631.545
295,Slovenia,2024,34544.168,55683.968
296,Solomon Islands,2023,2124.809,2554.413
297,Solomon Islands,2024,2208.925,2626.655
298,Somalia,2023,683.343,1780.276
299,Somalia,2024,771.447,1844.086
300,South Africa,2023,6111.746,15423.596
301,South Africa,2024,6377.068,15723.251
302,South Sudan,2023,478.118,1042.097
303,South Sudan,2024,340.986,762.925
304,Spain,2023,33895.593,52907.924
305,Spain,2024,35788.734,55089.205
306,Sudan,2023,795.679,3158.077
307,Sudan,2024,606.289,2512.814
308,Suriname,2023,5879.596,20614.284
309,Suriname,2024,7599.512,21403.829
310,Sweden,2023,55433.135,70046.951
311,Sweden,2024,57212.541,71730.789
312,Switzerland,2023,101510.023,93054.781
313,Switzerland,2024,106097.643,95836.636
314,Taiwan,2023,32404.32,74408.882
315,Taiwan,2024,33233.799,79031.076
316,Tajikistan,2023,1183.908,5147.945
317,Tajikistan,2024,1275.5,5532.774
318,Tanzania,2023,1249.348,3943.736
319,Tanzania,2024,1224.368,4134.116
320,Thailand,2023,7335.637,23981.207
321,Thailand,2024,7527.382,25211.769
322,Togo,2023,1001.112,3125.219
323,Togo,2024,1051.216,3289.861
324,Tonga,2023,5218.576,7477.138
325,Tonga,2024,5483.29,7810.975
326,Trinidad and Tobago,2023,19718.195,33790.98
327,Trinidad and Tobago,2024,19703.041,34987.234
328,Tunisia,2023,3967.481,13892.913
329,Tunisia,2024,4266.985,14338.485
330,Turkey,2023,13235.882,38390.949
331,Turkey,2024,15665.943,40283.307
332,Turkmenistan,2023,11926.706,25977.504
333,Turkmenistan,2024,12713.274,26881.366
334,Tuvalu,2023,6694.759,6138.265
335,Tuvalu,2024,7190.27,6479.754
336,Uganda,2023,1123.325,3460.145
337,Uganda,2024,1186.529,3641.785
338,Ukraine,2023,5241.316,18269.595
339,Ukraine,2024,5504.886,19603.124
340,United Arab Emirates,2023,48140.644,74713.617
341,United Arab Emirates,2024,49549.588,77251.442
342,United Kingdom,2023,49647.559,60735.429
343,United Kingdom,2024,52423.294,62573.612
344,United States,2023,82715.1,82715.1
345,United States,2024,86601.28,86601.28
346,Uruguay,2023,21656.979,32703.997
347,Uruguay,2024,23053.261,34440.195
348,Uzbekistan,2023,2819.823,10992.112
349,Uzbekistan,2024,3050.82,11596.421
350,Vanuatu,2023,3364.838,2882.803
351,Vanuatu,2024,3387.16,2878.134
352,Venezuela,2023,3737.81,7943.251
353,Venezuela,2024,4018.595,8403.841
354,Vietnam,2023,4324.049,14981.697
355,Vietnam,2024,4649.054,16193.268
356,Yemen,2023,551.953,2012.953
357,Yemen,2024,464.893,1996.036
358,Zambia,2023,1369.129,4110.186
359,Zambia,2024,1226.095,4190.267
360,Zimbabwe,2023,2119.318,4965.194
361,Zimbabwe,2024,2113.811,5070.606
